"","Date_Time","Year","Month","Day","MaxTemp","MinTemp","MeanTemp","HeatDegDays","CoolDegDays","TotalPrecip","SnowGround","Station","GDD"
"41",2016-02-10,2016,2,10,2,-2,0,18,0,0,34,"Lethbridge",1
"42",2016-02-11,2016,2,11,-2.5,-7.5,-5,23,0,8,27,"Lethbridge",1
"43",2016-02-12,2016,2,12,1,-14,-6.5,24.5,0,4,35,"Lethbridge",1
"44",2016-02-13,2016,2,13,-5,-14,-9.5,27.5,0,19,39,"Lethbridge",1
"45",2016-02-14,2016,2,14,-5,-12,-8.5,26.5,0,0,58,"Lethbridge",1
"46",2016-02-15,2016,2,15,-8,-17,-12.5,30.5,0,0,58,"Lethbridge",1
"47",2016-02-16,2016,2,16,6,-11.5,-2.8,20.8,0,4,58,"Lethbridge",1
"48",2016-02-17,2016,2,17,10,-1,4.5,13.5,0,18,37,"Lethbridge",1
"49",2016-02-18,2016,2,18,4,1,2.5,15.5,0,1,0,"Lethbridge",1
"50",2016-02-19,2016,2,19,-3,-4,-3.5,21.5,0,0,0,"Lethbridge",1
"51",2016-02-20,2016,2,20,-1,-15,-8,26,0,0,0,"Lethbridge",1
"52",2016-02-21,2016,2,21,6,-15,-4.5,22.5,0,1,0,"Lethbridge",1
"53",2016-02-22,2016,2,22,6,1,3.5,14.5,0,1,0,"Lethbridge",1
"54",2016-02-23,2016,2,23,-4,-9,-6.5,24.5,0,0,0,"Lethbridge",1
"55",2016-02-24,2016,2,24,0,-18,-9,27,0,4,0,"Lethbridge",1
"56",2016-02-25,2016,2,25,11,-5,3,15,0,13,3,"Lethbridge",1
"57",2016-02-26,2016,2,26,11,7,9,9,0,0,0,"Lethbridge",5
"58",2016-02-27,2016,2,27,3,0,1.5,16.5,0,0,0,"Lethbridge",5
"59",2016-02-28,2016,2,28,2,-7,-2.5,20.5,0,0,0,"Lethbridge",5
"60",2016-02-29,2016,2,29,8,-8,0,18,0,1,0,"Lethbridge",5
"61",2016-03-01,2016,3,1,8,2,5,13,0,5,0,"Lethbridge",5
"62",2016-03-02,2016,3,2,4,-6,-1,19,0,0,0,"Lethbridge",5
"63",2016-03-03,2016,3,3,10,-1.5,4.3,13.7,0,9,0,"Lethbridge",5
"64",2016-03-04,2016,3,4,-2,-7,-4.5,22.5,0,0,0,"Lethbridge",5
"65",2016-03-05,2016,3,5,0,-12,-6,24,0,21,0,"Lethbridge",5
"66",2016-03-06,2016,3,6,-1,-5,-3,21,0,0,17,"Lethbridge",5
"67",2016-03-07,2016,3,7,-1.5,-15,-8.3,26.3,0,0,17,"Lethbridge",5
"68",2016-03-08,2016,3,8,3,-19,-8,26,0,0,17,"Lethbridge",5
"69",2016-03-09,2016,3,9,-1,-13,-7,25,0,8,15,"Lethbridge",5
"70",2016-03-10,2016,3,10,0,-5,-2.5,20.5,0,0,23,"Lethbridge",5
"71",2016-03-11,2016,3,11,0,-17,-8.5,26.5,0,0,23,"Lethbridge",5
"72",2016-03-12,2016,3,12,-3,-9,-6,24,0,0,23,"Lethbridge",5
"73",2016-03-13,2016,3,13,-1,-16,-8.5,26.5,0,6,23,"Lethbridge",5
"74",2016-03-14,2016,3,14,-5,-9,-7,25,0,0,29,"Lethbridge",5
"75",2016-03-15,2016,3,15,0,-12,-6,24,0,0,29,"Lethbridge",5
"76",2016-03-16,2016,3,16,3,-15,-6,24,0,1,29,"Lethbridge",5
"77",2016-03-17,2016,3,17,3,0,1.5,16.5,0,0,17,"Lethbridge",5
"78",2016-03-18,2016,3,18,3,-6,-1.5,19.5,0,2,14,"Lethbridge",5
"79",2016-03-19,2016,3,19,4,-1,1.5,16.5,0,2,11,"Lethbridge",5
"80",2016-03-20,2016,3,20,0,-10,-5,23,0,0,8,"Lethbridge",5
"81",2016-03-21,2016,3,21,1,-13,-6,24,0,4,8,"Lethbridge",5
"82",2016-03-22,2016,3,22,5,0,2.5,15.5,0,0,23,"Lethbridge",5
"83",2016-03-23,2016,3,23,2,-8,-3,21,0,0,6,"Lethbridge",5
"84",2016-03-24,2016,3,24,-1,-9,-5,23,0,0,6,"Lethbridge",5
"85",2016-03-25,2016,3,25,1,-9,-4,22,0,7,6,"Lethbridge",5
"86",2016-03-26,2016,3,26,0,-4,-2,20,0,0,6,"Lethbridge",5
"87",2016-03-27,2016,3,27,5,-14,-4.5,22.5,0,0,6,"Lethbridge",5
"88",2016-03-28,2016,3,28,5,-5,0,18,0,2,6,"Lethbridge",5
"89",2016-03-29,2016,3,29,7,-1,3,15,0,4,4,"Lethbridge",5
"90",2016-03-30,2016,3,30,3,-2,0.5,17.5,0,0,4,"Lethbridge",5
"91",2016-03-31,2016,3,31,8,-2,3,15,0,1,2,"Lethbridge",5
"92",2016-04-01,2016,4,1,11.5,3,7.3,10.7,0,2,0,"Lethbridge",7.25
"93",2016-04-02,2016,4,2,16,8,12,6,0,8,0,"Lethbridge",14.25
"94",2016-04-03,2016,4,3,10,1.5,5.8,12.2,0,12,0,"Lethbridge",15
"95",2016-04-04,2016,4,4,1,-2,-0.5,18.5,0,0,0,"Lethbridge",15
"96",2016-04-05,2016,4,5,0,-6,-3,21,0,13,0,"Lethbridge",15
"97",2016-04-06,2016,4,6,-3,-8.5,-5.8,23.8,0,0,13,"Lethbridge",15
"98",2016-04-07,2016,4,7,5,-9,-2,20,0,0,13,"Lethbridge",15
"99",2016-04-08,2016,4,8,11.5,1,6.3,11.7,0,1,0,"Lethbridge",16.25
"100",2016-04-09,2016,4,9,18,3,10.5,7.5,0,4,0,"Lethbridge",21.75
"101",2016-04-10,2016,4,10,15,1,8,10,0,3,0,"Lethbridge",24.75
"102",2016-04-11,2016,4,11,6,-1,2.5,15.5,0,0,0,"Lethbridge",24.75
"103",2016-04-12,2016,4,12,9,-8,0.5,17.5,0,1,0,"Lethbridge",24.75
"104",2016-04-13,2016,4,13,15,2,8.5,9.5,0,0,0,"Lethbridge",28.25
"105",2016-04-14,2016,4,14,12,3,7.5,10.5,0,7,0,"Lethbridge",30.75
"106",2016-04-15,2016,4,15,7,3,5,13,0,2,0,"Lethbridge",30.75
"107",2016-04-16,2016,4,16,3,0,1.5,16.5,0,0,0,"Lethbridge",30.75
"108",2016-04-17,2016,4,17,11,-1,5,13,0,0,0,"Lethbridge",30.75
"109",2016-04-18,2016,4,18,3,1,2,16,0,0,0,"Lethbridge",30.75
"110",2016-04-19,2016,4,19,2.5,-6,-1.8,19.8,0,19,0,"Lethbridge",30.75
"111",2016-04-20,2016,4,20,1.5,-3,-0.8,18.8,0,26,19,"Lethbridge",30.75
"112",2016-04-21,2016,4,21,3.5,-3,0.3,17.7,0,3,26,"Lethbridge",30.75
"113",2016-04-22,2016,4,22,4,0,2,16,0,2,10,"Lethbridge",30.75
"114",2016-04-23,2016,4,23,11,0.5,5.8,12.2,0,0,6,"Lethbridge",31.5
"115",2016-04-24,2016,4,24,15.5,-4,5.8,12.2,0,1,0,"Lethbridge",32.25
"116",2016-04-25,2016,4,25,8,5,6.5,11.5,0,0,0,"Lethbridge",33.75
"117",2016-04-26,2016,4,26,5,-5,0,18,0,8,0,"Lethbridge",33.75
"118",2016-04-27,2016,4,27,7,-1,3,15,0,3,8,"Lethbridge",33.75
"119",2016-04-28,2016,4,28,5,-5,0,18,0,3,0,"Lethbridge",33.75
"120",2016-04-29,2016,4,29,7,-2,2.5,15.5,0,0,3,"Lethbridge",33.75
"121",2016-04-30,2016,4,30,12,0,6,12,0,0,0,"Lethbridge",34.75
"122",2016-05-01,2016,5,1,12,8,10,8,0,0,0,"Lethbridge",39.75
"123",2016-05-02,2016,5,2,11,0,5.5,12.5,0,0,0,"Lethbridge",40.25
"124",2016-05-03,2016,5,3,14,-1,6.5,11.5,0,7,0,"Lethbridge",41.75
"125",2016-05-04,2016,5,4,8,3,5.5,12.5,0,0,0,"Lethbridge",42.25
"126",2016-05-05,2016,5,5,5,2,3.5,14.5,0,25,0,"Lethbridge",42.25
"127",2016-05-06,2016,5,6,13,2,7.5,10.5,0,12,0,"Lethbridge",44.75
"128",2016-05-07,2016,5,7,15,4,9.5,8.5,0,8,0,"Lethbridge",49.25
"129",2016-05-08,2016,5,8,15,7,11,7,0,9,0,"Lethbridge",55.25
"130",2016-05-09,2016,5,9,15,8,11.5,6.5,0,0,0,"Lethbridge",61.75
"131",2016-05-10,2016,5,10,10,3,6.5,11.5,0,0,0,"Lethbridge",63.25
"132",2016-05-11,2016,5,11,10,0,5,13,0,4,0,"Lethbridge",63.25
"133",2016-05-12,2016,5,12,5,3.5,4.3,13.7,0,0,0,"Lethbridge",63.25
"134",2016-05-13,2016,5,13,9.5,1,5.3,12.7,0,0,0,"Lethbridge",63.5
"135",2016-05-14,2016,5,14,13,6,9.5,8.5,0,0,0,"Lethbridge",68
"136",2016-05-15,2016,5,15,15,-1,7,11,0,0,0,"Lethbridge",70
"137",2016-05-16,2016,5,16,16,2,9,9,0,0,0,"Lethbridge",74
"138",2016-05-17,2016,5,17,12,4,8,10,0,6,0,"Lethbridge",77
"139",2016-05-18,2016,5,18,12,4,8,10,0,2,0,"Lethbridge",80
"140",2016-05-19,2016,5,19,18.5,2,10.3,7.7,0,0,0,"Lethbridge",85.25
"141",2016-05-20,2016,5,20,21,0,10.5,7.5,0,0,0,"Lethbridge",90.75
"142",2016-05-21,2016,5,21,25,2.5,13.8,4.2,0,0,0,"Lethbridge",99.5
"143",2016-05-22,2016,5,22,13.5,4,8.8,9.2,0,0,0,"Lethbridge",103.25
"144",2016-05-23,2016,5,23,22,2,12,6,0,0,0,"Lethbridge",110.25
"145",2016-05-24,2016,5,24,25,10,17.5,0.5,0,0,0,"Lethbridge",122.75
"146",2016-05-25,2016,5,25,23,13,18,0,0,2,0,"Lethbridge",135.75
"147",2016-05-26,2016,5,26,9,5,7,11,0,4,0,"Lethbridge",137.75
"148",2016-05-27,2016,5,27,9,4,6.5,11.5,0,1,0,"Lethbridge",139.25
"149",2016-05-28,2016,5,28,6,4,5,13,0,10,0,"Lethbridge",139.25
"150",2016-05-29,2016,5,29,10.5,2,6.3,11.7,0,1,0,"Lethbridge",140.5
"151",2016-05-30,2016,5,30,20,0,10,8,0,10,0,"Lethbridge",145.5
"152",2016-05-31,2016,5,31,19,7,13,5,0,0,0,"Lethbridge",153.5
"153",2016-06-01,2016,6,1,7,5,6,12,0,0,0,"Lethbridge",154.5
"154",2016-06-02,2016,6,2,12,-2,5,13,0,0,0,"Lethbridge",154.5
"155",2016-06-03,2016,6,3,15,-4,5.5,12.5,0,0,0,"Lethbridge",155
"156",2016-06-04,2016,6,4,12.5,-1,5.8,12.2,0,1,0,"Lethbridge",155.75
"157",2016-06-05,2016,6,5,12,4,8,10,0,0,0,"Lethbridge",158.75
"158",2016-06-06,2016,6,6,14,2,8,10,0,0,0,"Lethbridge",161.75
"159",2016-06-07,2016,6,7,18.5,1,9.8,8.2,0,0,0,"Lethbridge",166.5
"160",2016-06-08,2016,6,8,13,6,9.5,8.5,0,11,0,"Lethbridge",171
"161",2016-06-09,2016,6,9,10,5,7.5,10.5,0,2,0,"Lethbridge",173.5
"162",2016-06-10,2016,6,10,9,5,7,11,0,0,0,"Lethbridge",175.5
"163",2016-06-11,2016,6,11,16.5,6,11.3,6.7,0,2,0,"Lethbridge",181.75
"164",2016-06-12,2016,6,12,14,3,8.5,9.5,0,0,0,"Lethbridge",185.25
"165",2016-06-13,2016,6,13,13,7,10,8,0,14,0,"Lethbridge",190.25
"166",2016-06-14,2016,6,14,14,7,10.5,7.5,0,10,NA,"Lethbridge",195.75
"167",2016-06-15,2016,6,15,15,10,12.5,5.5,0,5,NA,"Lethbridge",203.25
"168",2016-06-16,2016,6,16,12,8,10,8,0,4,NA,"Lethbridge",208.25
"169",2016-06-17,2016,6,17,13,6,9.5,8.5,0,0,NA,"Lethbridge",212.75
"170",2016-06-18,2016,6,18,18,3,10.5,7.5,0,0,NA,"Lethbridge",218.25
"171",2016-06-19,2016,6,19,25,2,13.5,4.5,0,0,NA,"Lethbridge",226.75
"172",2016-06-20,2016,6,20,27,13,20,0,2,0,NA,"Lethbridge",241.75
"173",2016-06-21,2016,6,21,22,9,15.5,2.5,0,0,NA,"Lethbridge",252.25
"174",2016-06-22,2016,6,22,15,11,13,5,0,6,NA,"Lethbridge",260.25
"175",2016-06-23,2016,6,23,19,11,15,3,0,0,NA,"Lethbridge",270.25
"176",2016-06-24,2016,6,24,20,10,15,3,0,0,NA,"Lethbridge",280.25
"177",2016-06-25,2016,6,25,24,9,16.5,1.5,0,0,NA,"Lethbridge",291.75
"178",2016-06-26,2016,6,26,26,8,17,1,0,0,NA,"Lethbridge",303.75
"179",2016-06-27,2016,6,27,24,9,16.5,1.5,0,0,NA,"Lethbridge",315.25
"180",2016-06-28,2016,6,28,27,11,19,0,1,0,NA,"Lethbridge",329.25
"181",2016-06-29,2016,6,29,28,14,21,0,3,0,NA,"Lethbridge",345.25
"182",2016-06-30,2016,6,30,18,12,15,3,0,36,NA,"Lethbridge",355.25
"183",2016-07-01,2016,7,1,29,14,21.5,0,3.5,0,NA,"Lethbridge",371.75
"184",2016-07-02,2016,7,2,21,11,16,2,0,0,NA,"Lethbridge",382.75
"185",2016-07-03,2016,7,3,17,11,14,4,0,4,NA,"Lethbridge",391.75
"186",2016-07-04,2016,7,4,24,11,17.5,0.5,0,0,NA,"Lethbridge",404.25
"187",2016-07-05,2016,7,5,23,11,17,1,0,13,NA,"Lethbridge",416.25
"188",2016-07-06,2016,7,6,9,6,7.5,10.5,0,17,NA,"Lethbridge",418.75
"189",2016-07-07,2016,7,7,13,6,9.5,8.5,0,0,NA,"Lethbridge",423.25
"190",2016-07-08,2016,7,8,18,3,10.5,7.5,0,0,NA,"Lethbridge",428.75
"191",2016-07-09,2016,7,9,22,2,12,6,0,0,NA,"Lethbridge",435.75
"192",2016-07-10,2016,7,10,16,5,10.5,7.5,0,0,NA,"Lethbridge",441.25
"193",2016-07-11,2016,7,11,12,5,8.5,9.5,0,35,NA,"Lethbridge",444.75
"194",2016-07-12,2016,7,12,12,9,10.5,7.5,0,2,NA,"Lethbridge",450.25
"195",2016-07-13,2016,7,13,15,8,11.5,6.5,0,0,NA,"Lethbridge",456.75
"196",2016-07-14,2016,7,14,18,7,12.5,5.5,0,1,NA,"Lethbridge",464.25
"197",2016-07-15,2016,7,15,25,11,18,0,0,5,NA,"Lethbridge",477.25
"198",2016-07-16,2016,7,16,27,13,20,0,2,0,NA,"Lethbridge",492.25
"199",2016-07-17,2016,7,17,29,11,20,0,2,1,NA,"Lethbridge",507.25
"200",2016-07-18,2016,7,18,27,14,20.5,0,2.5,0,NA,"Lethbridge",522.75
"201",2016-07-19,2016,7,19,23,14,18.5,0,0.5,0,NA,"Lethbridge",536.25
"202",2016-07-20,2016,7,20,21,12,16.5,1.5,0,0,NA,"Lethbridge",547.75
"203",2016-07-21,2016,7,21,22,12,17,1,0,0,NA,"Lethbridge",559.75
"204",2016-07-22,2016,7,22,25,7,16,2,0,0,NA,"Lethbridge",570.75
"205",2016-07-23,2016,7,23,24,13,18.5,0,0.5,2,NA,"Lethbridge",584.25
"206",2016-07-24,2016,7,24,24,15,19.5,0,1.5,0,NA,"Lethbridge",598.75
"207",2016-07-25,2016,7,25,24,13,18.5,0,0.5,0,NA,"Lethbridge",612.25
"208",2016-07-26,2016,7,26,24,15,19.5,0,1.5,0,NA,"Lethbridge",626.75
"209",2016-07-27,2016,7,27,23,13,18,0,0,1,NA,"Lethbridge",639.75
"210",2016-07-28,2016,7,28,25,14,19.5,0,1.5,0,NA,"Lethbridge",654.25
"211",2016-07-29,2016,7,29,27,14,20.5,0,2.5,0,NA,"Lethbridge",669.75
"212",2016-07-30,2016,7,30,25,15,20,0,2,11,NA,"Lethbridge",684.75
"213",2016-07-31,2016,7,31,23,14,18.5,0,0.5,13,NA,"Lethbridge",698.25
"214",2016-08-01,2016,8,1,23,12,17.5,0.5,0,0,NA,"Lethbridge",710.75
"215",2016-08-02,2016,8,2,14,11,12.5,5.5,0,0,NA,"Lethbridge",718.25
"216",2016-08-03,2016,8,3,18,6,12,6,0,1,NA,"Lethbridge",725.25
"217",2016-08-04,2016,8,4,22,6,14,4,0,1,NA,"Lethbridge",734.25
"218",2016-08-05,2016,8,5,25,12,18.5,0,0.5,1,NA,"Lethbridge",747.75
"219",2016-08-06,2016,8,6,25,16,20.5,0,2.5,3,NA,"Lethbridge",763.25
"220",2016-08-07,2016,8,7,22,16,19,0,1,6,NA,"Lethbridge",777.25
"221",2016-08-08,2016,8,8,27,15,21,0,3,0,NA,"Lethbridge",793.25
"222",2016-08-09,2016,8,9,26,11,18.5,0,0.5,4,NA,"Lethbridge",806.75
"223",2016-08-10,2016,8,10,24,10,17,1,0,0,NA,"Lethbridge",818.75
"224",2016-08-11,2016,8,11,25,14,19.5,0,1.5,0,NA,"Lethbridge",833.25
"225",2016-08-12,2016,8,12,23,16,19.5,0,1.5,0,NA,"Lethbridge",847.75
"226",2016-08-13,2016,8,13,21,11,16,2,0,0,NA,"Lethbridge",858.75
"227",2016-08-14,2016,8,14,24,9,16.5,1.5,0,0,NA,"Lethbridge",870.25
"228",2016-08-15,2016,8,15,21,8,14.5,3.5,0,2,NA,"Lethbridge",879.75
"229",2016-08-16,2016,8,16,25,11,18,0,0,0,NA,"Lethbridge",892.75
"230",2016-08-17,2016,8,17,23,11,17,1,0,0,NA,"Lethbridge",904.75
"231",2016-08-18,2016,8,18,18,9,13.5,4.5,0,0,NA,"Lethbridge",913.25
"232",2016-08-19,2016,8,19,23,8,15.5,2.5,0,0,NA,"Lethbridge",923.75
"233",2016-08-20,2016,8,20,22,9,15.5,2.5,0,0,NA,"Lethbridge",934.25
"234",2016-08-21,2016,8,21,23,8,15.5,2.5,0,0,NA,"Lethbridge",944.75
"235",2016-08-22,2016,8,22,22,8,15,3,0,3,NA,"Lethbridge",954.75
"236",2016-08-23,2016,8,23,24,15,19.5,0,1.5,26,NA,"Lethbridge",969.25
"237",2016-08-24,2016,8,24,24,13,18.5,0,0.5,0,NA,"Lethbridge",982.75
"238",2016-08-25,2016,8,25,25,16,20.5,0,2.5,0,NA,"Lethbridge",998.25
"239",2016-08-26,2016,8,26,22,18,20,0,2,34,NA,"Lethbridge",1013.25
"240",2016-08-27,2016,8,27,18,12,15,3,0,1,NA,"Lethbridge",1023.25
"241",2016-08-28,2016,8,28,20,9,14.5,3.5,0,0,NA,"Lethbridge",1032.75
"242",2016-08-29,2016,8,29,21,5,13,5,0,12,NA,"Lethbridge",1040.75
"243",2016-08-30,2016,8,30,15,9,12,6,0,2,NA,"Lethbridge",1047.75
"244",2016-08-31,2016,8,31,18,2,10,8,0,1,NA,"Lethbridge",1052.75
"245",2016-09-01,2016,9,1,19,5,12,6,0,2,NA,"Lethbridge",1059.75
"246",2016-09-02,2016,9,2,14,5,9.5,8.5,0,0,NA,"Lethbridge",1064.25
"247",2016-09-03,2016,9,3,14,7,10.5,7.5,0,0,NA,"Lethbridge",1069.75
"248",2016-09-04,2016,9,4,13,5,9,9,0,0,NA,"Lethbridge",1073.75
"249",2016-09-05,2016,9,5,24,1,12.5,5.5,0,0,NA,"Lethbridge",1081.25
"250",2016-09-06,2016,9,6,25,12,18.5,0,0.5,0,NA,"Lethbridge",1094.75
"251",2016-09-07,2016,9,7,25,17,21,0,3,0,NA,"Lethbridge",1110.75
"252",2016-09-08,2016,9,8,16,12,14,4,0,12,NA,"Lethbridge",1119.75
"253",2016-09-09,2016,9,9,22,10,16,2,0,21,NA,"Lethbridge",1130.75
"254",2016-09-10,2016,9,10,14,9,11.5,6.5,0,3,NA,"Lethbridge",1137.25
"255",2016-09-11,2016,9,11,18,1,9.5,8.5,0,1,NA,"Lethbridge",1141.75
"256",2016-09-12,2016,9,12,18,12,15,3,0,0,NA,"Lethbridge",1151.75
"257",2016-09-13,2016,9,13,23,10,16.5,1.5,0,0,NA,"Lethbridge",1163.25
"258",2016-09-14,2016,9,14,24,15,19.5,0,1.5,0,NA,"Lethbridge",1177.75
"259",2016-09-15,2016,9,15,17,14,15.5,2.5,0,3,NA,"Lethbridge",1188.25
"260",2016-09-16,2016,9,16,17,2,9.5,8.5,0,0,NA,"Lethbridge",1192.75
"261",2016-09-17,2016,9,17,19,9,14,4,0,0,NA,"Lethbridge",1201.75
"262",2016-09-18,2016,9,18,17,10,13.5,4.5,0,22,NA,"Lethbridge",1210.25
"263",2016-09-19,2016,9,19,9,7,8,10,0,2,NA,"Lethbridge",1213.25
"264",2016-09-20,2016,9,20,14,6,10,8,0,1,NA,"Lethbridge",1218.25
"265",2016-09-21,2016,9,21,20,6,13,5,0,0,NA,"Lethbridge",1226.25
"266",2016-09-22,2016,9,22,20,10,15,3,0,0,NA,"Lethbridge",1236.25
"267",2016-09-23,2016,9,23,15,8,11.5,6.5,0,13,NA,"Lethbridge",1242.75
"268",2016-09-24,2016,9,24,10,8,9,9,0,4,NA,"Lethbridge",1246.75
"269",2016-09-25,2016,9,25,13,0,6.5,11.5,0,0,NA,"Lethbridge",1248.25
"270",2016-09-26,2016,9,26,10,3,6.5,11.5,0,4,NA,"Lethbridge",1249.75
"271",2016-09-27,2016,9,27,12,1,6.5,11.5,0,6,NA,"Lethbridge",1251.25
"272",2016-09-28,2016,9,28,12,2,7,11,0,0,NA,"Lethbridge",1253.25
"273",2016-09-29,2016,9,29,8,0,4,14,0,14.6,NA,"Lethbridge",1253.25
"274",2016-09-30,2016,9,30,15,3,9,9,0,0,NA,"Lethbridge",1257.25
"275",2016-10-01,2016,10,1,17,3,10,8,0,0,NA,"Lethbridge",1262.25
"276",2016-10-02,2016,10,2,15,-1,7,11,0,0,NA,"Lethbridge",1264.25
"277",2016-10-03,2016,10,3,11,3,7,11,0,5,NA,"Lethbridge",1266.25
"278",2016-10-04,2016,10,4,15,0,7.5,10.5,0,0,NA,"Lethbridge",1268.75
"279",2016-10-05,2016,10,5,19,5,12,6,0,0,NA,"Lethbridge",1275.75
"280",2016-10-06,2016,10,6,20,4,12,6,0,0,NA,"Lethbridge",1282.75
"281",2016-10-07,2016,10,7,20,9,14.5,3.5,0,0,NA,"Lethbridge",1292.25
"282",2016-10-08,2016,10,8,16,3,9.5,8.5,0,0,NA,"Lethbridge",1296.75
"283",2016-10-09,2016,10,9,16,3,9.5,8.5,0,0,NA,"Lethbridge",1301.25
"284",2016-10-10,2016,10,10,17,10,13.5,4.5,0,87,NA,"Lethbridge",1309.75
"285",2016-10-11,2016,10,11,6,5,5.5,12.5,0,4,NA,"Lethbridge",1310.25
"286",2016-10-12,2016,10,12,16,-1,7.5,10.5,0,0,NA,"Lethbridge",1312.75
"287",2016-10-13,2016,10,13,14,2,8,10,0,0,NA,"Lethbridge",1315.75
"288",2016-10-14,2016,10,14,12,5,8.5,9.5,0,4,NA,"Lethbridge",1319.25
"289",2016-10-15,2016,10,15,8,4,6,12,0,0,NA,"Lethbridge",1320.25
"290",2016-10-16,2016,10,16,12,1,6.5,11.5,0,0,NA,"Lethbridge",1321.75
"291",2016-10-17,2016,10,17,10,0,5,13,0,4,NA,"Lethbridge",1321.75
"292",2016-10-18,2016,10,18,9,5,7,11,0,0,NA,"Lethbridge",1323.75
"293",2016-10-19,2016,10,19,14,-4,5,13,0,4,NA,"Lethbridge",1323.75
"294",2016-10-20,2016,10,20,10,4.5,7.3,10.7,0,1,NA,"Lethbridge",1326
"295",2016-10-21,2016,10,21,8,-4,2,16,0,2,NA,"Lethbridge",1326
"296",2016-10-22,2016,10,22,16,2,9,9,0,42,NA,"Lethbridge",1330
"297",2016-10-23,2016,10,23,15,10,12.5,5.5,0,7,NA,"Lethbridge",1337.5
"298",2016-10-24,2016,10,24,11,6,8.5,9.5,0,1,NA,"Lethbridge",1341
"299",2016-10-25,2016,10,25,11,2,6.5,11.5,0,0,NA,"Lethbridge",1342.5
"300",2016-10-26,2016,10,26,5,2.5,3.8,14.2,0,2,NA,"Lethbridge",1342.5
