PlotName,Year,EVI
Bloomfield+A1,2016,0.591400027
Bloomfield+A11,2016,0.448049992
Bloomfield+A13,2016,0.465600014
Bloomfield+A3,2016,0.430099994
Bloomfield+A5,2016,0.47209999
Bloomfield+A7,2016,0.506600022
Bloomfield+A9,2016,0.451950014
Bloomfield+B14,2016,0.483399987
Bloomfield+C10,2016,0.468650013
Bloomfield+C12,2016,0.460000008
Bloomfield+C14,2016,0.464850008
Bloomfield+C2,2016,0.510699987
Bloomfield+C4,2016,0.496499985
Bloomfield+C6,2016,0.486750007
Bloomfield+C8,2016,0.513400018
Bloomfield+D1,2016,0.498349994
Bloomfield+E1,2016,0.455199987
Bloomfield+F1,2016,0.452749997
Bloomfield+F11,2016,0.436699986
Bloomfield+F13,2016,0.437900007
Bloomfield+F3,2016,0.470050007
Bloomfield+F5,2016,0.456050009
Bloomfield+F7,2016,0.468300015
Bloomfield+F9,2016,0.517149985
Bloomfield+G14,2016,0.460799992
Bloomfield+H14,2016,0.471399993
Bloomfield+I10,2016,0.427350014
Bloomfield+I12,2016,0.44600001
Bloomfield+I14,2016,0.467750013
Bloomfield+I2,2016,0.438199997
Bloomfield+I4,2016,0.441700011
Bloomfield+I6,2016,0.493099988
Bloomfield+I8,2016,0.434599996
Bloomfield+J1,2016,0.469099998
Bloomfield+K1,2016,0.445549995
Bloomfield+L10,2016,0.448399991
Bloomfield+L12,2016,0.470999986
Bloomfield+L14,2016,0.465799987
Bloomfield+L2,2016,0.434549987
Bloomfield+L4,2016,0.490099996
Bloomfield+L6,2016,0.449200004
Bloomfield+L8,2016,0.48574999
Bloomfield+M14,2016,0.443699986
Bloomfield+N1,2016,0.444700003
Bloomfield+N11,2016,0.439550012
Bloomfield+N13,2016,0.428950012
Bloomfield+N3,2016,0.451050013
Bloomfield+N5,2016,0.463349998
Bloomfield+N7,2016,0.515600026
Bloomfield+N9,2016,0.445199996
Dunphys Pond+A1,2016,0.413100004
Dunphys Pond+A11,2016,0.46419999
Dunphys Pond+A13,2016,0.463866681
Dunphys Pond+A3,2016,0.459899992
Dunphys Pond+A5,2016,0.442166656
Dunphys Pond+A7,2016,0.465299994
Dunphys Pond+A9,2016,0.42686668
Dunphys Pond+B14,2016,0.461600006
Dunphys Pond+C10,2016,0.433699995
Dunphys Pond+C12,2016,0.506166637
Dunphys Pond+C14,2016,0.415133327
Dunphys Pond+C2,2016,0.419
Dunphys Pond+C4,2016,0.432733327
Dunphys Pond+C6,2016,0.453633338
Dunphys Pond+C8,2016,0.415133327
Dunphys Pond+D1,2016,0.411333323
Dunphys Pond+E1,2016,0.390500009
Dunphys Pond+F1,2016,0.468633324
Dunphys Pond+F11,2016,0.443233341
Dunphys Pond+F13,2016,0.389433324
Dunphys Pond+F3,2016,0.552833319
Dunphys Pond+F5,2016,0.502799988
Dunphys Pond+F7,2016,0.508566678
Dunphys Pond+F9,2016,0.464566678
Dunphys Pond+G14,2016,0.377299994
Dunphys Pond+H14,2016,0.394499987
Dunphys Pond+I10,2016,0.513199985
Dunphys Pond+I12,2016,0.415066659
Dunphys Pond+I14,2016,0.401966661
Dunphys Pond+I2,2016,0.499500006
Dunphys Pond+I4,2016,0.517266691
Dunphys Pond+I6,2016,0.57130003
Dunphys Pond+I8,2016,0.521499991
Dunphys Pond+J1,2016,0.50183332
Dunphys Pond+K1,2016,0.480233341
Dunphys Pond+L10,2016,0.441466659
Dunphys Pond+L12,2016,0.422699988
Dunphys Pond+L14,2016,0.407933325
Dunphys Pond+L2,2016,0.469833344
Dunphys Pond+L4,2016,0.503233314
Dunphys Pond+L6,2016,0.482800007
Dunphys Pond+L8,2016,0.499833345
Dunphys Pond+M14,2016,0.469449997
Dunphys Pond+N1,2016,0.539166689
Dunphys Pond+N11,2016,0.383100003
Dunphys Pond+N13,2016,0.415450007
Dunphys Pond+N3,2016,0.438199997
Dunphys Pond+N5,2016,0.443800002
Dunphys Pond+N7,2016,0.401600003
Dunphys Pond+N9,2016,0.457249999
TNNP North+A1,2016,0.467400014
TNNP North+A11,2016,0.415866673
TNNP North+A13,2016,0.359400004
TNNP North+A3,2016,0.48633334
TNNP North+A5,2016,0.391966671
TNNP North+A7,2016,0.40200001
TNNP North+A9,2016,0.4005
TNNP North+B14,2016,0.365266681
TNNP North+C10,2016,0.379999995
TNNP North+C12,2016,0.337566674
TNNP North+C14,2016,0.369399995
TNNP North+C2,2016,0.421200007
TNNP North+C4,2016,0.47420001
TNNP North+C6,2016,0.353899986
TNNP North+C8,2016,0.341966659
TNNP North+D1,2016,0.407066673
TNNP North+E1,2016,0.403499991
TNNP North+F1,2016,0.405066669
TNNP North+F11,2016,0.390333325
TNNP North+F13,2016,0.338166654
TNNP North+F3,2016,0.311566681
TNNP North+F5,2016,0.346833318
TNNP North+F7,2016,0.398600012
TNNP North+F9,2016,0.33496666
TNNP North+G14,2016,0.388366669
TNNP North+H14,2016,0.328500003
TNNP North+I10,2016,0.394366652
TNNP North+I12,2016,0.353033334
TNNP North+I14,2016,0.32616666
TNNP North+I2,2016,0.327833325
TNNP North+I4,2016,0.333466679
TNNP North+I6,2016,0.436733335
TNNP North+I8,2016,0.380299985
TNNP North+J1,2016,0.325800002
