"","PlotName","Year","EVI"
"1","Bloomfield+A1",2016,0.591400027
"2","Bloomfield+A11",2016,0.448049992
"3","Bloomfield+A13",2016,0.465600014
"4","Bloomfield+A3",2016,0.430099994
"5","Bloomfield+A5",2016,0.47209999
"6","Bloomfield+A7",2016,0.506600022
"7","Bloomfield+A9",2016,0.451950014
"8","Bloomfield+B14",2016,0.483399987
"9","Bloomfield+C10",2016,0.468650013
"10","Bloomfield+C12",2016,0.460000008
"11","Bloomfield+C14",2016,0.464850008
"12","Bloomfield+C2",2016,0.510699987
"13","Bloomfield+C4",2016,0.496499985
"14","Bloomfield+C6",2016,0.486750007
"15","Bloomfield+C8",2016,0.513400018
"16","Bloomfield+D1",2016,0.498349994
"17","Bloomfield+E1",2016,0.455199987
"18","Bloomfield+F1",2016,0.452749997
"19","Bloomfield+F11",2016,0.436699986
"20","Bloomfield+F13",2016,0.437900007
"21","Bloomfield+F3",2016,0.470050007
"22","Bloomfield+F5",2016,0.456050009
"23","Bloomfield+F7",2016,0.468300015
"24","Bloomfield+F9",2016,0.517149985
"25","Bloomfield+G14",2016,0.460799992
"26","Bloomfield+H14",2016,0.471399993
"27","Bloomfield+I10",2016,0.427350014
"28","Bloomfield+I12",2016,0.44600001
"29","Bloomfield+I14",2016,0.467750013
"30","Bloomfield+I2",2016,0.438199997
"31","Bloomfield+I4",2016,0.441700011
"32","Bloomfield+I6",2016,0.493099988
"33","Bloomfield+I8",2016,0.434599996
"34","Bloomfield+J1",2016,0.469099998
"35","Bloomfield+K1",2016,0.445549995
"36","Bloomfield+L10",2016,0.448399991
"37","Bloomfield+L12",2016,0.470999986
"38","Bloomfield+L14",2016,0.465799987
"39","Bloomfield+L2",2016,0.434549987
"40","Bloomfield+L4",2016,0.490099996
"41","Bloomfield+L6",2016,0.449200004
"42","Bloomfield+L8",2016,0.48574999
"43","Bloomfield+M14",2016,0.443699986
"44","Bloomfield+N1",2016,0.444700003
"45","Bloomfield+N11",2016,0.439550012
"46","Bloomfield+N13",2016,0.428950012
"47","Bloomfield+N3",2016,0.451050013
"48","Bloomfield+N5",2016,0.463349998
"49","Bloomfield+N7",2016,0.515600026
"50","Bloomfield+N9",2016,0.445199996
"51","Dunphys Pond+A1",2016,0.413100004
"52","Dunphys Pond+A11",2016,0.46419999
"53","Dunphys Pond+A13",2016,0.463866681
"54","Dunphys Pond+A3",2016,0.459899992
"55","Dunphys Pond+A5",2016,0.442166656
"56","Dunphys Pond+A7",2016,0.465299994
"57","Dunphys Pond+A9",2016,0.42686668
"58","Dunphys Pond+B14",2016,0.461600006
"59","Dunphys Pond+C10",2016,0.433699995
"60","Dunphys Pond+C12",2016,0.506166637
"61","Dunphys Pond+C14",2016,0.415133327
"62","Dunphys Pond+C2",2016,0.419
"63","Dunphys Pond+C4",2016,0.432733327
"64","Dunphys Pond+C6",2016,0.453633338
"65","Dunphys Pond+C8",2016,0.415133327
"66","Dunphys Pond+D1",2016,0.411333323
"67","Dunphys Pond+E1",2016,0.390500009
"68","Dunphys Pond+F1",2016,0.468633324
"69","Dunphys Pond+F11",2016,0.443233341
"70","Dunphys Pond+F13",2016,0.389433324
"71","Dunphys Pond+F3",2016,0.552833319
"72","Dunphys Pond+F5",2016,0.502799988
"73","Dunphys Pond+F7",2016,0.508566678
"74","Dunphys Pond+F9",2016,0.464566678
"75","Dunphys Pond+G14",2016,0.377299994
"76","Dunphys Pond+H14",2016,0.394499987
"77","Dunphys Pond+I10",2016,0.513199985
"78","Dunphys Pond+I12",2016,0.415066659
"79","Dunphys Pond+I14",2016,0.401966661
"80","Dunphys Pond+I2",2016,0.499500006
"81","Dunphys Pond+I4",2016,0.517266691
"82","Dunphys Pond+I6",2016,0.57130003
"83","Dunphys Pond+I8",2016,0.521499991
"84","Dunphys Pond+J1",2016,0.50183332
"85","Dunphys Pond+K1",2016,0.480233341
"86","Dunphys Pond+L10",2016,0.441466659
"87","Dunphys Pond+L12",2016,0.422699988
"88","Dunphys Pond+L14",2016,0.407933325
"89","Dunphys Pond+L2",2016,0.469833344
"90","Dunphys Pond+L4",2016,0.503233314
"91","Dunphys Pond+L6",2016,0.482800007
"92","Dunphys Pond+L8",2016,0.499833345
"93","Dunphys Pond+M14",2016,0.469449997
"94","Dunphys Pond+N1",2016,0.539166689
"95","Dunphys Pond+N11",2016,0.383100003
